Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 TSI (162),"CBZB, CYVD",1198,77,105,01/11 →
1.4 TSI (162),"CAVD, CTHD",1390,118,160,05/11 →
1.4 TSI (162),"CAXA, CMSB",1390,90,122,07/11 →
1.4 TSI (162),"CAVA, CTHA, CZTA",1390,110,150,05/11 →
1.4 TSI (162),CZCA,1395,92,125,07/14 →
1.4 TSI (162),CZDA,1395,110,150,08/14 →
1.4 TSI Hybrid (162),"CNLA, CRJA",1395,110,150,07/12 →
1.6 (162),"CLRA, CFNA",1595,77,105,01/12 →
1.6,CWVA,1598,81,110,09/15 →
1.6 (162),CFNB,1598,63,86,03/13 →
1.6 MPi,CWVB,1598,66,90,09/15 → 04/18
1.6 TDI (162),CAYC,1598,77,105,01/11 → 07/15
1.8 TSI (162),"CPKA, CPRA",1781,125,170,08/13 →
2.0 (162),"CBPA, CKJA",1984,85,116,01/11 → 12/17
2.0 TDI (162),"CFFB, CJAA, CLCB",1968,103,140,01/11 →
2.0 TDI (162),"CLCA, CUUA",1968,81,110,07/14 →
2.0 TDI (162),"CUUB, CVCA",1968,110,150,07/14 →
2.0 TSI (162),"CBFA, CCTA, CCZA",1984,147,200,01/11 →
2.0 TSI (162),"CPLA, CPPA",1984,155,211,12/12 → 12/17
2.5 V5 (162),"CBTA, CBUA, CCCA",2480,125,170,04/10 →
