Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0,CH,1984,55,75,04/75 → 09/83
2.0 (28),CH,2000,70,95,05/75 → 11/82
2.4,"DL,HS",2383,66,90,12/82 → 07/92
2.4 D,1S,2383,51,70,08/89 → 07/92
2.4 D,ACL,2383,70,95,06/92 → 06/96
"2.4 D (21, 28)","CP, DW",2383,55,75,01/79 → 07/92
"2.4 TD (21, 28)",DV,2383,75,102,12/82 → 08/92
2.4 TD,1G,2383,68,92,08/88 → 08/92
2.4 TD (21),ACL,2383,75,102,09/92 → 06/97
2.4 i,1E,2383,69,94,08/89 → 06/96
2.7 D (28),CG (P. 4.1659),2699,55,75,01/76 → 03/80
2.7 D,Perkins 4.165,,,,11/75 → 05/80
