Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6,ALZ,,75,102,11/00 → 09/05
1.8,APT,1781,92,125,03/03 → 03/05
1.8 T,AWT,,110,150,11/00 → 09/05
1.8 T,AWM,1781,125,170,02/01 → 09/05
1.9 TDI,AVB,,74,101,11/00 → 09/05
1.9 TDI,"AVF, AWX",,96,130,11/00 → 09/05
2.0 (3B3),"AZM, BFF",1984,85,115,11/00 → 09/05
2.0,ALT,1984,96,130,11/01 → 09/05
2.0 TDI,"BGW, BHW",,100,136,09/03 → 09/05
2.3 V5,AZX,,125,170,11/00 → 09/05
2.5 TDI V6,AKN,,110,150,11/00 → 08/05
2.5 TDI V6,"BAU, BDH",2496,132,180,02/03 → 09/05
2.5 TDI V6,BDG,2496,120,163,05/03 → 09/05
2.8 V6,"AMX, ATQ",,142,193,11/00 → 09/05
2.8 V6,BBG,,140,190,10/00 → 05/05
4.0 W8 4Motion,BDN,3998,202,275,03/01 → 10/04
