Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 TSI,CAXA,1390,90,122,09/07 → 11/10
1.4 TSI EcoFuel,CDGA,1390,110,150,01/09 → 11/10
1.6 16V,"BSE, BSF",1598,75,102,03/05 → 11/10
1.6 FSI,BLF,1598,85,115,03/05 → 06/08
"1.6 TDI, 1.6 TDI Blue Motion",CAYC,1596,77,105,09/09 → 11/10
1.8 TSI,"BZB, CDAA, CDAB, CGYA",1781,118,160,09/07 → 10/11
1.9 TDI,"BKC, BLS, BXE",1896,77,105,03/05 → 11/08
2.0 BlueTDI,CBAC,1968,105,143,05/09 → 11/10
2.0 FSI,"BLR/X/Y,BVX/Y/Z",1980,110,150,03/05 → 11/10
2.0 TDI,CBDC,1968,81,110,10/08 → 11/10
2.0 TDI,BWV,1968,88,120,07/05 → 05/07
2.0 TDI,"BVD, BVE",1968,90,122,07/05 → 05/07
2.0 TDI,"BMA, CBAA",1968,100,136,03/05 → 05/11
2.0 TDI (3C2/3C5),"BKP, BMP, CBAB",1968,103,140,03/05 → 10/09
2.0 TDI (357),"CBAB, CFFB",1968,103,140,06/08 → 01/12
2.0 TDI,BUZ,1968,120,163,10/05 → 11/08
2.0 TDI,"BMR, CBBB, CFGB, CLLA",1968,125,170,05/05 → 12/14
2.0 TFSI,CCTB,1984,125,170,03/05 → 11/10
2.0 TFSI,CCZB,1984,155,211,11/10 → 01/12
2.0 TFSI,"AXX,BWA,CAWB,CBFA,CCTA,CCZA",1984,147,200,03/05 → 11/10
3.2 FSI,AXZ,3168,184,250,09/05 → 11/10
3.6 FSI,BLV,3597,206,280,11/05 → 11/10
3.6 FSI,BWS,3597,220,300,09/07 → 11/10
