Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 TSI (36),CAXA,1390,90,122,11/10 → 12/14
"1.4 TSI (36, 357)",CKMA,1390,118,160,11/10 → 12/14
1.4 TSI EcoFuel (36),CDGA,1390,110,150,11/10 → 12/14
1.6 TDI (36),CAYC,1596,77,105,11/10 → 12/14
1.8 TSI (36),CDAA,1781,118,160,11/10 → 12/14
1.8 TSI (36),CDAB,1781,112,152,03/11 → 12/14
1.8 TSI (36),"CPKA, CPRA",1781,125,170,08/13 →
"2.0 TDI (36, 357)",CFFB,1968,103,140,11/10 → 12/14
"2.0 TDI (36, 357)",CFFA,1968,100,136,11/10 → 12/14
"2.0 TDI (36, 357)",CFGB,1968,125,170,11/10 → 12/14
2.0 TDI (36),CFGC,1968,130,177,01/13 → 12/14
"2.0 TSI (36, 357)",CCZB,1984,155,211,11/10 → 12/15
2.5,"CBTA, CBUA, CCCA",2480,125,170,01/11 →
3.6 FSI (357),BWS,3597,220,300,11/10 → 12/14
