Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.4 GTE (3G2, 3G5)",CUKC,1390,115,156,06/15 →
"1.4 TSI (3G2, 3G5)",CZCA,1390,92,125,11/14 →
"1.4 TSI (3G2, 3G5)","CZEA, CZDA",1390,110,150,11/14 →
"1.5 TSI (3G2, 3G5)","DADA, DPCA",1495,110,150,08/18 →
"1.6 TDI (3G2, 3G5)",DCXA,1598,88,120,11/14 →
"1.8 TSI (3G2, 3G5)","CJSA, CJSC",1798,132,179,02/15 →
2.0 TDI,"CVCA, DEKA",1968,110,150,06/14 →
"2.0 TDI (3G2, 3G5)",DFGB,1968,81,110,01/16 →
"2.0 TDI (3G2, 3G5)","CRLB,DFEA,DBGA,DFGA,DSRA/B,DTS",1968,110,150,11/14 →
"2.0 TDI (3G2, 3G5)",CUPA,1968,135,184,11/14 →
"2.0 TDI (3G2, 3G5)","DDAA, DFCA, DFHA",1968,140,190,11/14 →
2.0 TDI,DTUA,1968,147,200,09/20 →
2.0 TDI,DTRA,1968,90,122,07/20 →
"2.0 TDI 4MOTION (3G2, 3G5)",CUAA,1968,176,240,11/14 →
"2.0 TSI (3G2, 3G5)",CHHB,1984,162,220,01/15 →
"2.0 TSI (3G2, 3G5)","CZPB, DKZA",1984,140,190,11/18 →
2.0 TSI (3G5),DNUA,1984,200,272,09/18 →
"2.0 TSI (3G2, 3G5)",CJXA,1984,206,280,05/15 →
