Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
3.0 TDI V6 (3D2),BMK,2967,166,225,11/04 → 07/07
3.0 TDI V6 (3D2),CEXB,2967,180,245,12/13 → 03/16
3.0 TDI V6 (3D2),CARA,2967,171,232,06/07 → 11/08
3.0 TDI V6 (3D2),"CARB, CEXA",2967,176,240,05/07 → 03/16
3.0 V6 (3D2),CPFA,,184,250,11/11 → 03/16
3.2 V6 (3D2),"AYT, BKL, BRK",3184,177,241,04/02 → 12/08
3.6 V6 (3D2),"CHNA, CMVA",,206,280,11/08 → 03/16
4.2 V8 (3D2),"BGH, BGJ",,246,335,07/03 → 03/16
5.0 TDI V10 (3D2),AJS,4921,230,314,11/02 → 12/08
6.0 W12 (3D2),"BRN, BTT",5998,331,450,06/05 → 03/16
6.0 W12 (3D2),BAN,5998,309,420,04/02 → 06/05
