Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
0.9 Coupe,HA,889,29,39,10/81 → 12/81
1.0 Coupe,GL,1043,29,40,05/82 → 10/86
1.0 Coupe,"AAK, AAU, ACM, HZ",1043,33,45,08/85 → 09/94
1.1 Coupe,HB,1093,37,50,10/81 → 07/83
1.3 Coupe,3F,1272,55,75,09/82 → 09/94
1.3 Coupe,"AAV,MH,NZ,2G",1272,40,55,08/83 → 08/94
1.3 Coupe,HH,1272,44,60,10/81 → 07/83
1.3 D Coupe,MN,1272,33,45,08/86 → 08/90
1.3 G40 Coupe,PY,1272,85,115,01/87 → 08/90
1.3 G40 Coupe,PY,1272,83,113,08/90 → 09/94
1.4 D Coupe,1W,1398,35,48,08/90 → 09/94
