Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 (6N2),"ALD, AUC",,37,50,08/99 → 11/01
1.4 (6N2),AKP,1390,40,54,10/99 → 11/01
1.4 (6N2/6V2/6V5),"AEX, AKK, AKV, ANW, APQ, AUD",,44,60,08/99 → 11/01
1.4 16V (6N2),"AFK, AUB, AQQ",,74,100,08/99 → 11/01
1.4 16V (6N2/6V2/6V5),"AHW,APE,AUA",,55,75,08/99 → 11/01
1.4 TDI (6N2),AMF,,55,75,08/99 → 11/01
1.6 (6V2/6V5),"AEH, AKL, APF, AUR",1595,74,100,09/99 → 11/01
1.6 (6V2/6V5),ALM,1598,55,75,10/99 → 11/01
1.6 16V GTI (6N2),ARC/AVY,,92,125,08/99 → 11/01
1.7 SDI (6N2),AKU,,44,60,08/99 → 11/01
1.9 D (6N2),AEF,,47,64,08/99 → 11/01
1.9 SDI (6N2),AGD/ASX,1896,47,64,08/99 → 11/01
1.9 SDI (6V2/6V5),AQM/AGP,1896,50,68,08/99 → 11/01
1.9 TDI (6V2/6V5),AGR/ALH,,66,90,09/99 → 11/01
1.9 TDI (6V2/6V5),ASV,,81,110,09/99 → 11/01
