Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2,BBM,1198,44,60,06/07 → 11/09
1.2,"AWY, BMD",1198,40,55,01/02 → 05/07
1.2 12V,"AZQ, BME",1198,47,65,11/01 → 07/07
1.2 12V,BZG,1198,51,70,06/07 → 11/09
1.4 16V,"AHW, AUA, BBY, BKY",1390,55,75,11/01 → 05/08
1.4 16V,BUD,1390,59,80,06/06 → 11/09
1.4 16V,"AUB, BBZ",1390,74,100,01/02 → 05/08
1.4 16V FSI,"AXU, BLM",1390,63,85,03/02 → 06/06
1.4 TDI,"AMF, BAY",1420,55,75,11/01 → 05/05
1.4 TDI,"BMS, BNV",1420,59,80,05/05 → 11/09
1.4 TDI,"BNM, BWB",1420,51,70,05/05 → 11/09
1.6,"BAH, BPA",,74,100,09/02 → 07/08
1.6 16V,BTS,,77,105,06/06 → 11/09
1.8 GTI (Cup Edition),BBU,,132,180,06/06 → 11/09
1.8 GTI,BJX,,110,150,09/05 → 11/09
1.9 SDI,ASY,1896,47,64,01/02 → 11/09
1.9 TDI,"ASZ, BLT",1896,96,130,09/03 → 11/09
1.9 TDI,"ATD, AXR, BMT",1896,74,100,01/02 → 11/09
2.0,BBX,1984,85,115,09/02 → 01/12
2.0 Total Flex (GT),CFEA / EA 113,1984,88,120,10/08 → 01/12
