Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 MPI (AW),CHYB,999,55,75,07/17 →
1.0 MPI (AW),"CHYC, DFNB",999,48,65,07/17 →
1.0 MPI (AW),"DFNA, DSGB",999,59,80,09/18 →
1.0 TGI CNG (AW),DBYA,999,66,90,07/17 →
1.0 TSI (AW),"CHZL, DKLA, DLAC",999,70,95,07/17 →
1.0 TSI (AW),"CHZJ, DKJA",999,85,116,09/17 →
1.0 TSI,DLAA,999,81,110,07/20 →
1.5 TSI (AW),DADA,1498,110,150,09/18 →
"1.6 MPI (AW, BZ)",CWVB,1598,66,90,12/17 →
1.6 TDI (AW),DGTC,1598,59,80,11/17 →
1.6 TDI (AW),DGTD,1598,70,95,11/17 →
2.0 GTI (AW),"CZPC, DKZC",1984,147,200,11/17 →
2.0 GTI (AW),,1984,152,207,04/21 →
