Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 TSI,"CZCA, CZDB",1395,92,125,02/16 →
1.4 TSI,"CZDA, CZEA, DJVA",1395,110,150,05/16 → 07/18
1.4 eHybrid,DGEA,1395,110,150,11/20 →
1.5 TSI,"DACB, DPBE",1495,96,131,11/18 → 08/19
1.5 TSI,"DADA, DPCA",1498,110,150,08/18 →
1.6 TDI,DGDB,1595,85,116,05/16 →
2.0 TDI,CYKC,1968,81,110,08/16 → 07/20
2.0 TDI,DFGC,1968,85,116,05/16 → 07/19
2.0 TDI,CRFD,1968,105,143,06/16 → 07/20
2.0 TDI,"DFGA, DBGC, DTSA, DTSB",1968,110,150,02/16 →
2.0 TDI,CRGB,1968,130,177,08/16 → 07/20
2.0 TDI,DFHA,1968,140,190,02/16 → 07/20
2.0 TDI,DTUA,1968,147,200,09/20 →
2.0 TDI,DTRC,1968,90,122,06/20 →
2.0 TDI,CUAA,1968,176,239,05/16 → 07/20
2.0 TSI,CZPA,1984,132,180,02/16 →
2.0 TSI,"DKZA, DNNA",1984,140,190,09/18 →
2.0 TSI,"CHHB, CXDA, DNJA",1984,162,220,06/16 →
2.0 TSI,DKTA,1984,169,230,09/18 → 07/20
2.0 TSI,DNPA,1984,180,245,01/21 →
2.0 TSI R,"DNFG, DFSE",1984,235,320,09/20 →
