Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 TSI (1T3),CBZB,1198,77,105,06/10 → 05/15
"1.4 TSI (1T2, 1T3)","BLG, CAVB",1390,125,170,12/06 → 05/10
"1.4 TSI (1T1, 1T2, 1T3)","BMY, CAVC, CTHC",1390,103,140,03/06 → 05/15
1.4 TSI (1T3),"CAVB, CTHB",1390,125,170,05/10 → 05/15
1.4 TSI EcoFuel (1T2),CDGA,1390,110,150,05/09 → 05/10
"1.6 16V (1T1, 1T2)","BGU, BSE, BSF",,75,102,08/03 → 05/10
"1.6 FSI (1T1, 1T2)","BAG, BLP, BLF",,85,115,03/03 → 01/07
1.6 TDI (1T3),CAYB,1598,66,90,07/10 → 05/15
1.6 TDI (1T3),CAYC,1598,77,105,07/10 → 05/15
1.9 TDI (1T1),AVQ,,74,100,03/03 → 05/05
"1.9 TDI (1T1, 1T2)","BRU, BXJ, BXF, BXJ",1896,66,90,11/04 → 05/10
"1.9 TDI (1T1, 1T2)","BKC, BLS, BXE",,77,105,04/04 → 05/10
"2.0 EcoFuel (1T1, 1T2)",BSX,,80,109,03/06 → 05/09
"2.0 FSI (1T1, 1T2)","AXW, BLR/X/Y, BVY/Z",,110,150,09/03 → 11/05
2.0 TDI (1T3),"CLCA, CFHF",1968,81,110,07/10 → 05/15
"2.0 TDI (1T1, 1T2, 1T3)","BMN, CFJA",1968,125,170,11/05 → 01/13
2.0 TDI (1T3),CFJB,1968,130,177,01/13 → 05/15
"2.0 TDI (1T1, 1T2)",AZV,1968,100,136,03/03 → 05/10
2.0 TDI (1T3),CFHC,1968,103,140,05/10 → 05/15
"2.0 TDI (1T1, 1T2)","BKD, BMM",1968,103,140,03/04 → 05/10
