Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 TDI (SF/SG),"CAAA, CXGA",1968,62,84,04/15 → 06/16
2.0 TDI (SF/SG),CXGD,1968,66,90,10/19 →
2.0 TDI (SF/SG),"CAAB, CXGB",1968,75,102,04/15 → 12/19
2.0 TDI (SF/SG),CXHC,1968,81,110,07/19 →
2.0 TDI (SF/SG),CXHB,1968,84,114,05/16 → 08/19
2.0 TDI (SF/SG),CAAC,1968,103,140,04/15 →
2.0 TDI (SF/SG),"CXFA, CXHA",1968,110,150,04/15 →
2.0 TDI (SF/SG),CFCA,1968,132,180,04/15 →
2.0 TDI (SF/SG),CXEB,1968,150,204,06/15 →
2.0 TDI (SF/SG),CXEC,1968,146,199,11/18 →
2.0 TSI (SF/SG),CJKA,1984,150,204,04/15 →
2.0 TSI (SF/SG),CJKB,1984,110,150,04/15 →
ABT e-Transporter,BOSCH SMG-180.1.3,,83,113,01/20 →
